contrast,lower_population,higher_population,metric,common_seed_count,common_seeds,mean_difference,ci_low,ci_high,analysis_status,analysis_watermark
n4_minus_n1,1,4,input_tokens,3,"13100,13101,13102",4342367.0,4047175.0,4606580.0,complete,
n4_minus_n1,1,4,cached_input_tokens,3,"13100,13101,13102",1421056.0,1415680.0,1428224.0,complete,
n4_minus_n1,1,4,uncached_input_tokens,3,"13100,13101,13102",2921311.0,2627911.0,3190900.0,complete,
n4_minus_n1,1,4,input_cache_fraction,3,"13100,13101,13102",0.2787547722813831,0.2616279821890128,0.2979628923603005,complete,
n4_minus_n1,1,4,output_tokens,3,"13100,13101,13102",386321.3333333333,362827.0,415201.0,complete,
n4_minus_n1,1,4,reasoning_tokens,3,"13100,13101,13102",309647.3333333333,288866.0,333400.0,complete,
n4_minus_n1,1,4,total_tokens,3,"13100,13101,13102",4728688.333333333,4462376.0,4987516.0,complete,
n4_minus_n1,1,4,model_call_count,3,"13100,13101,13102",600.0,600.0,600.0,complete,
n4_minus_n1,1,4,provider_request_count,3,"13100,13101,13102",600.3333333333334,600.0,601.0,complete,
n4_minus_n1,1,4,recovered_transport_retry_count,3,"13100,13101,13102",0.3333333333333333,0.0,1.0,complete,
n4_minus_n1,1,4,transport_error_count,3,"13100,13101,13102",0.3333333333333333,0.0,1.0,complete,
n4_minus_n1,1,4,summed_model_latency_seconds,3,"13100,13101,13102",3445.7575670254882,3273.9474284158787,3745.237428468885,complete,
n4_minus_n1,1,4,input_tokens_per_submitted_turn,3,"13100,13101,13102",2541.34125,2373.785,2741.4925,complete,
n4_minus_n1,1,4,input_tokens_per_actionable_turn,3,"13100,13101,13102",2959.1752005474495,2638.063093994778,3513.960194986072,complete,
n4_minus_n1,1,4,total_tokens_per_submitted_turn,3,"13100,13101,13102",2675.7291666666665,2585.7275,2807.84375,complete,
n4_minus_n1,1,4,total_tokens_per_actionable_turn,3,"13100,13101,13102",3132.3315468784135,2821.934896640827,3650.294247910863,complete,
n4_minus_n1,1,4,delivered_bytes,3,"13100,13101,13102",148177.0,130239.0,179550.0,complete,
n4_minus_n1,1,4,delivered_bytes_per_submitted_turn,3,"13100,13101,13102",185.22125000000003,162.79875,224.4375,complete,
n4_minus_n1,1,4,delivered_bytes_per_actionable_turn,3,"13100,13101,13102",196.77662410449773,168.2674418604651,234.3994778067885,complete,
n4_minus_n1,1,4,episode_wall_seconds,3,"13100,13101,13102",1158.2885413159772,1065.431427358999,1305.3770331739797,complete,
n4_minus_n1,1,4,mean_tick_wall_seconds,3,"13100,13101,13102",5.783201804845981,5.303333041809965,6.526426285035849,complete,
n6_minus_n1,1,6,paper_base_percent,3,"13100,13101,13102",4.761905098954837,1.3824883848428726,10.138249397277832,complete,
n6_minus_n1,1,6,paper_coord_percent,0,,,,,complete,
n6_minus_n1,1,6,paper_total_percent,3,"13100,13101,13102",3.358172563215097,0.8162567391991615,6.614619493484497,complete,
n6_minus_n1,1,6,episode_return,3,"13100,13101,13102",4.75,-0.03333333383003856,8.01666666691502,complete,
n6_minus_n1,1,6,team_unique_base_achievements,3,"13100,13101,13102",6.333333333333333,3.0,10.0,complete,
n6_minus_n1,1,6,team_unique_coord_achievements,0,,,,,complete,
n6_minus_n1,1,6,team_unique_total_achievements,3,"13100,13101,13102",7.666666666666667,6.0,11.0,complete,
n6_minus_n1,1,6,summed_agent_base_achievements,3,"13100,13101,13102",30.333333333333332,20.0,36.0,complete,
n6_minus_n1,1,6,summed_agent_coord_achievements,0,,,,,complete,
n6_minus_n1,1,6,summed_agent_total_achievements,3,"13100,13101,13102",35.0,20.0,47.0,complete,
n6_minus_n1,1,6,coordination_attempts,0,,,,,complete,
n6_minus_n1,1,6,coordination_resolved_attempts,0,,,,,complete,
n6_minus_n1,1,6,coordination_successes,0,,,,,complete,
n6_minus_n1,1,6,give_attempts,0,,,,,complete,
n6_minus_n1,1,6,successful_transfers,0,,,,,complete,
n6_minus_n1,1,6,requests,0,,,,,complete,
n6_minus_n1,1,6,revives,0,,,,,complete,
n6_minus_n1,1,6,deaths,3,"13100,13101,13102",0.6666666666666666,0.0,1.0,complete,
n6_minus_n1,1,6,action_parse_rate,3,"13100,13101,13102",-0.012313337499604948,-0.016222410865874393,-0.00647548566142464,complete,
n6_minus_n1,1,6,action_parse_success,3,"13100,13101,13102",865.6666666666666,769.0,954.0,complete,
n6_minus_n1,1,6,action_parse_fail,3,"13100,13101,13102",15.0,7.0,24.0,complete,
n6_minus_n1,1,6,action_parse_skipped_inactive,3,"13100,13101,13102",119.33333333333333,22.0,217.0,complete,
n6_minus_n1,1,6,environment_steps_completed,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n6_minus_n1,1,6,agent_turns_submitted,3,"13100,13101,13102",1000.0,1000.0,1000.0,complete,
n6_minus_n1,1,6,alive_agent_turns,3,"13100,13101,13102",995.3333333333334,989.0,1000.0,complete,
n6_minus_n1,1,6,actionable_agent_turns,3,"13100,13101,13102",880.6666666666666,783.0,978.0,complete,
n6_minus_n1,1,6,alive_turn_fraction,3,"13100,13101,13102",-0.0038888888888888675,-0.009166666666666656,0.0,complete,
n6_minus_n1,1,6,actionable_turn_fraction,3,"13100,13101,13102",-0.0994444444444444,-0.1808333333333333,-0.018333333333333313,complete,
n6_minus_n1,1,6,requested_environment_steps,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n6_minus_n1,1,6,step_completion_fraction,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n6_minus_n1,1,6,intentional_actionable_noops,3,"13100,13101,13102",34.666666666666664,15.0,64.0,complete,
n6_minus_n1,1,6,parse_fallback_noops,3,"13100,13101,13102",15.0,7.0,24.0,complete,
n6_minus_n1,1,6,active_action_validation_fallback_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n6_minus_n1,1,6,active_residual_effective_noops,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n6_minus_n1,1,6,inactive_billed_turns,3,"13100,13101,13102",119.33333333333333,22.0,217.0,complete,
n6_minus_n1,1,6,inactive_effective_noops,3,"13100,13101,13102",119.33333333333333,22.0,217.0,complete,
n6_minus_n1,1,6,canonical_submitted_noops,3,"13100,13101,13102",169.0,61.0,256.0,complete,
n6_minus_n1,1,6,effective_environment_noops,3,"13100,13101,13102",169.0,61.0,256.0,complete,
n6_minus_n1,1,6,executed_noops,3,"13100,13101,13102",169.0,61.0,256.0,complete,
n6_minus_n1,1,6,input_tokens,3,"13100,13101,13102",7566914.666666667,6769475.0,8929131.0,complete,
n6_minus_n1,1,6,cached_input_tokens,3,"13100,13101,13102",2121728.0,2119936.0,2123520.0,complete,
n6_minus_n1,1,6,uncached_input_tokens,3,"13100,13101,13102",5445186.666666667,4645955.0,6807403.0,complete,
n6_minus_n1,1,6,input_cache_fraction,3,"13100,13101,13102",0.2578670594287175,0.21797993813795172,0.28095362714530253,complete,
n6_minus_n1,1,6,output_tokens,3,"13100,13101,13102",696416.6666666666,571890.0,826999.0,complete,
n6_minus_n1,1,6,reasoning_tokens,3,"13100,13101,13102",566598.3333333334,453313.0,687750.0,complete,
n6_minus_n1,1,6,total_tokens,3,"13100,13101,13102",8263331.333333333,7341365.0,9619492.0,complete,
n6_minus_n1,1,6,model_call_count,3,"13100,13101,13102",1000.0,1000.0,1000.0,complete,
n6_minus_n1,1,6,provider_request_count,3,"13100,13101,13102",1000.0,1000.0,1000.0,complete,
n6_minus_n1,1,6,recovered_transport_retry_count,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n6_minus_n1,1,6,transport_error_count,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n6_minus_n1,1,6,summed_model_latency_seconds,3,"13100,13101,13102",6184.756640230383,5265.036767760466,6902.946741168329,complete,
n6_minus_n1,1,6,input_tokens_per_submitted_turn,3,"13100,13101,13102",3098.409444444444,2354.633333333333,4089.0175000000004,complete,
n6_minus_n1,1,6,input_tokens_per_actionable_turn,3,"13100,13101,13102",3848.3904522489447,3559.613464384829,4240.502393887946,complete,
n6_minus_n1,1,6,total_tokens_per_submitted_turn,3,"13100,13101,13102",3291.519166666667,2412.8166666666666,4208.964166666668,complete,
n6_minus_n1,1,6,total_tokens_per_actionable_turn,3,"13100,13101,13102",4114.276222162881,3926.916322482198,4372.894032258065,complete,
n6_minus_n1,1,6,delivered_bytes,3,"13100,13101,13102",421603.3333333333,313070.0,514150.0,complete,
n6_minus_n1,1,6,delivered_bytes_per_submitted_turn,3,"13100,13101,13102",351.33611111111105,260.89166666666665,428.4583333333333,complete,
n6_minus_n1,1,6,delivered_bytes_per_actionable_turn,3,"13100,13101,13102",388.52574820219587,318.48423194303155,475.6244218316374,complete,
n6_minus_n1,1,6,episode_wall_seconds,3,"13100,13101,13102",2023.630402828004,1609.1492599219782,2247.0146779189818,complete,
n6_minus_n1,1,6,mean_tick_wall_seconds,3,"13100,13101,13102",10.10200390805209,8.044874601725898,11.23409318259248,complete,
n3_minus_n2,2,3,paper_base_percent,3,"13100,13101,13102",7.219662206868331,6.451612710952759,7.834102213382721,complete,
n3_minus_n2,2,3,paper_coord_percent,3,"13100,13101,13102",2.09643617272377,-3.144654259085655,8.176100626587868,complete,
n3_minus_n2,2,3,paper_total_percent,3,"13100,13101,13102",5.053192501266797,2.393617480993271,7.7127669006586075,complete,
